bandID,songID
B02950,S07792
B02950,S11622
B02950,S15301
B02950,S17782
B02950,S57366
B02950,S59240
B02950,S72793
B02950,S75471
B05921,S16805
B05921,S23235
B05921,S52336
B05921,S68494
B05921,S74659
B05921,S75115
B05921,S77731
B05921,S78449
B05921,S89352
B05921,S91690
B07436,S07839
B07436,S09196
B07436,S11946
B07436,S22524
B07436,S25014
B07436,S29147
B07436,S30399
B07436,S34924
B07436,S35045
B07436,S36508
B07436,S36923
B07436,S37809
B07436,S38783
B07436,S39295
B07436,S43928
B07436,S44282
B07436,S44967
B07436,S45087
B07436,S71760
B07436,S72139
B07436,S96309
B24019,S09731
B24019,S26063
B24019,S33301
B24019,S36366
B24019,S49544
B24019,S68038
B24019,S79027
B24019,S83217
B24019,S90569
B24019,S95862
B25370,S10338
B25370,S13007
B25370,S21880
B25370,S26443
B25370,S35393
B25370,S48669
B25370,S50093
B25370,S51405
B25370,S55908
B25370,S55914
B25370,S78707
B25370,S85465
B25370,S87553
B25370,S97148
B25807,S17179
B25807,S20881
B25807,S33216
B25807,S39524
B25807,S56173
B25807,S68303
B25807,S71619
B25807,S77777
B25807,S81873
B25807,S95095
B35122,S24041
B35122,S24467
B35122,S31251
B35122,S49075
B35122,S55487
B35122,S69493
B35122,S74716
B35122,S79981
B35122,S80940
B35122,S87872
B36190,S00081
B36190,S00502
B36190,S00706
B36190,S02375
B36190,S04073
B36190,S04992
B36190,S05058
B36190,S05184
B36190,S07744
B36190,S09421
B36190,S09844
B36190,S10562
B36190,S11230
B36190,S13397
B36190,S14636
B36190,S16309
B36190,S18182
B36190,S22384
B36190,S23486
B36190,S24037
B36190,S24352
B36190,S25858
B36190,S26696
B36190,S27568
B36190,S28527
B36190,S31670
B36190,S33189
B36190,S33589
B36190,S34811
B36190,S41561
B36190,S41911
B36190,S42258
B36190,S43852
B36190,S43953
B36190,S44389
B36190,S47287
B36190,S47797
B36190,S47875
B36190,S47879
B36190,S48439
B36190,S50161
B36190,S51106
B36190,S51986
B36190,S52365
B36190,S54798
B36190,S55391
B36190,S55494
B36190,S55684
B36190,S55739
B36190,S55766
B36190,S55912
B36190,S55945
B36190,S56987
B36190,S58714
B36190,S61309
B36190,S61681
B36190,S65944
B36190,S66912
B36190,S67274
B36190,S68224
B36190,S69116
B36190,S70855
B36190,S71637
B36190,S72366
B36190,S74751
B36190,S77346
B36190,S79668
B36190,S79681
B36190,S81846
B36190,S87016
B36190,S88466
B36190,S90971
B36190,S91454
B36190,S92126
B36190,S94027
B36190,S95493
B36190,S97073
B36190,S98383
B36190,S98657
B36190,S98901
B36190,S98980
B36190,S99298
B39016,S10650
B39016,S26772
B39016,S41737
B39016,S59642
B39016,S64269
B39016,S64861
B39016,S65564
B39016,S69310
B39945,S00617
B39945,S03520
B39945,S15402
B39945,S18580
B39945,S22536
B39945,S24299
B39945,S28510
B39945,S28777
B39945,S29701
B39945,S40510
B39945,S61523
B39945,S64205
B39945,S67306
B39945,S79257
B39945,S90045
B39945,S91514
B39945,S96744
B39945,S97364
B43480,S02715
B43480,S05523
B43480,S06352
B43480,S08562
B43480,S12457
B43480,S16537
B43480,S17360
B43480,S17687
B43480,S18765
B43480,S24869
B43480,S27419
B43480,S27472
B43480,S29774
B43480,S31477
B43480,S32550
B43480,S50098
B43480,S60040
B43480,S61006
B43480,S62933
B43480,S69422
B43480,S71437
B43480,S77276
B43480,S77308
B43480,S79039
B43480,S88025
B43480,S93658
B48954,S13610
B48954,S51513
B48954,S54055
B48954,S55924
B48954,S72812
B48954,S77844
B48954,S83287
B48954,S86942
B48954,S88478
B48954,S93471
B49843,S07570
B49843,S08921
B49843,S16220
B49843,S28514
B49843,S28962
B49843,S32216
B49843,S40052
B49843,S46196
B49843,S47305
B49843,S56098
B49843,S75787
B49843,S89460
B49843,S91891
B49843,S96671
B53513,S14425
B57698,S01397
B57698,S06362
B57698,S13300
B57698,S14245
B57698,S15377
B57698,S23575
B57698,S27666
B57698,S30382
B57698,S32093
B57698,S33651
B57698,S37462
B57698,S37631
B57698,S39691
B57698,S41330
B57698,S43637
B57698,S56272
B57698,S56489
B57698,S57305
B57698,S58655
B57698,S59181
B57698,S66107
B57698,S70758
B57698,S75360
B57698,S79243
B57698,S84349
B57698,S84449
B57698,S87736
B57698,S87787
B57698,S91486
B57698,S92618
B57698,S95812
B57698,S96171
B57698,S96492
B57698,S96930
B57698,S98388
B57698,S98475
B58851,S06962
B58851,S12698
B58851,S20286
B58851,S24057
B58851,S51803
B58851,S64436
B58851,S64910
B58851,S75278
B58851,S76950
B58851,S96893
B60704,S01334
B60704,S03214
B60704,S04333
B60704,S07020
B60704,S09479
B60704,S11939
B60704,S13635
B60704,S15220
B60704,S20894
B60704,S27988
B60704,S32035
B60704,S33463
B60704,S33469
B60704,S38101
B60704,S38732
B60704,S40643
B60704,S41506
B60704,S45015
B60704,S46744
B60704,S48438
B60704,S48893
B60704,S49638
B60704,S59210
B60704,S65391
B60704,S65587
B60704,S70980
B60704,S76370
B60704,S77426
B60704,S81906
B60704,S83359
B60704,S84796
B60704,S86783
B60704,S96021
B60704,S98552
B61967,S24101
B61967,S25619
B61967,S27354
B61967,S27750
B61967,S31195
B61967,S31370
B61967,S31415
B61967,S34259
B61967,S36770
B61967,S48360
B61967,S52171
B61967,S53239
B61967,S64849
B61967,S66576
B61967,S78604
B61967,S82041
B61967,S83185
B61967,S91945
B61967,S94002
B67107,S18945
B67107,S21303
B67107,S22842
B67107,S37155
B67107,S39507
B67107,S42425
B67107,S51921
B67107,S65766
B67107,S81659
B75381,S23197
B78243,S02555
B78243,S24856
B78243,S26713
B78243,S35285
B78243,S46493
B78243,S53020
B78243,S58284
B78243,S59648
B78243,S63518
B78243,S66247
B78243,S66730
B78243,S75569
B78243,S85046
B78243,S91808
B78243,S97837
B78243,S99978
B78730,S04729
B78730,S24720
B78730,S35040
B78730,S35200
B78730,S50469
B78730,S65025
B78730,S71981
B78730,S89169
B78730,S95879
B78730,S98858
B86189,S00659
B86189,S18121
B86189,S19254
B86189,S23070
B86189,S34501
B86189,S52462
B86189,S72215
B86189,S72763
B86189,S83440
B86189,S93101
B87010,S12833
B87010,S18968
B87010,S52598
B87010,S62872
B87010,S63242
B87010,S65681
B87010,S66589
B87010,S70712
B87010,S83882
B87010,S98427
B87963,S07833
B87963,S10692
B87963,S36518
B87963,S40268
B87963,S44718
B87963,S54075
B87963,S61871
B87963,S67795
B87963,S93226
B96605,S01370
B96605,S04908
B96605,S07990
B96605,S20742
B96605,S22762
B96605,S24047
B96605,S25302
B96605,S28581
B96605,S30102
B96605,S35790
B96605,S36671
B96605,S40133
B96605,S41824
B96605,S44173
B96605,S45733
B96605,S46253
B96605,S55378
B96605,S60954
B96605,S63001
B96605,S63928
B96605,S64721
B96605,S70486
B96605,S73909
B96605,S74605
B96605,S78213
B96605,S78429
B96605,S79637
B96605,S81690
B96605,S92809
B96605,S94948
B97748,S04320
B97748,S29161
B97748,S31005
B97748,S39981
B97748,S50355
B97748,S77788
B97748,S79613
B97748,S82947
B97748,S86967
