artistID,bandID,yearJoined,yearLeft
A00120,B25370,1978,1980
A00120,B25370,1987,1991
A00351,B96605,1995,2002
A00563,B78243,1994,NULL
A01142,B25370,1978,1986
A01142,B25370,1987,1995
A02681,B35122,1985,1993
A02681,B35122,2001,NULL
A03118,B25370,1985,1985
A03271,B78243,1994,2009
A03885,B96605,2013,2015
A04652,B39945,1979,1987
A04652,B39945,2001,2006
A04674,B96605,2015,NULL
A04872,B49843,1990,1990
A04872,B49843,1994,1994
A04872,B49843,1997,1985
A04872,B49843,1999,2016
A04980,B25370,1977,1986
A04980,B25370,1987,NULL
A05310,B96605,2013,2015
A05318,B78730,1979,1981
A05356,B57698,1995,NULL
A05359,B25370,2013,NULL
A06380,B97748,1982,1982
A06453,B78730,1979,1986
A06453,B78730,1999,1999
A06453,B78730,2003,NULL
A06712,B39945,1979,1980
A07582,B58851,1977,1992
A07648,B60704,2009,2009
A07704,B39945,1980,NULL
A09355,B60704,2007,NULL
A09385,B25370,1977,1977
A10026,B39945,1978,NULL
A10268,B25807,1980,1990
A10268,B25807,1999,2005
A10437,B25370,1979,1982
A10437,B25370,1987,NULL
A10570,B25370,1978,1982
A10570,B25370,1987,2013
A10930,B39016,1981,1986
A12416,B86189,1997,1991
A12416,B86189,2001,NULL
A12421,B87010,1996,1997
A12632,B97748,2011,NULL
A13320,B78243,1995,NULL
A13413,B67107,1979,1988
A13413,B67107,1989,1989
A13413,B67107,1991,NULL
A13506,B60704,1999,2000
A13508,B97748,1982,1982
A14325,B60704,2002,2002
A14737,B60704,1980,NULL
A15007,B02950,1981,1986
A15279,B60704,1990,1991
A15675,B87010,1979,1984
A15829,B86189,1997,1991
A15829,B86189,2001,NULL
A16302,B60704,1980,NULL
A16949,B86189,1997,1991
A18481,B87010,1980,1984
A18684,B96605,2015,NULL
A19012,B87010,1978,1986
A19012,B87010,1996,2002
A19090,B87963,1970,NULL
A19599,B57698,1999,2002
A19655,B58851,1977,2008
A19655,B58851,2010,NULL
A20682,B36190,1976,NULL
A21680,B78243,1979,1995
A22258,B87010,1985,1986
A22966,B86189,1997,1991
A23457,B07436,1964,1989
A23457,B07436,2001,2001
A23457,B07436,2012,2013
A23585,B39945,1988,1991
A23613,B87010,1985,1986
A24578,B87010,1998,1999
A24855,B61967,1976,NULL
A24936,B78730,1984,1992
A24936,B78730,1999,1999
A24936,B78730,2003,NULL
A25506,B49843,1990,1990
A25506,B49843,1994,1994
A25506,B49843,1997,1985
A25506,B49843,1999,2016
A25784,B57698,2002,2002
A27567,B67107,1979,1988
A27567,B67107,1989,1989
A27567,B67107,1991,NULL
A27803,B67107,1979,1988
A27803,B67107,1989,1989
A27803,B67107,1991,2000
A27921,B87010,1985,1986
A28017,B07436,1964,1984
A28017,B07436,2001,2001
A28017,B43480,1964,2009
A28458,B86189,1997,1991
A28458,B86189,2001,NULL
A28531,B05921,1981,1986
A28531,B05921,1998,2002
A28531,B05921,2011,NULL
A29624,B97748,1970,1991
A30473,B97748,1970,NULL
A31132,B86189,1997,1991
A31132,B86189,2001,NULL
A31639,B96605,2013,NULL
A31756,B60704,1991,1993
A31999,B96605,1996,2002
A32222,B49843,1990,1990
A32222,B49843,1994,1994
A32222,B49843,1997,1985
A32222,B49843,1999,2016
A32396,B86189,1997,1991
A32396,B86189,2001,NULL
A33343,B97748,1984,NULL
A34065,B97748,2011,NULL
A34741,B67107,1979,1988
A34741,B67107,1989,1989
A34741,B67107,1991,NULL
A35837,B87010,2000,2001
A36770,B96605,2013,NULL
A37662,B96605,1998,2002
A37939,B78730,1981,1981
A37939,B78730,1981,1992
A37939,B78730,1999,1999
A37939,B78730,2003,NULL
A38152,B78243,1979,NULL
A39264,B78243,2009,NULL
A40109,B97748,1971,1997
A41154,B07436,1964,1985
A41154,B07436,2001,2001
A41154,B07436,2012,2013
A41229,B58851,1986,1989
A41229,B58851,1998,1998
A41229,B58851,2010,NULL
A41665,B25370,2013,2013
A41674,B39016,1981,1991
A41674,B39016,2000,NULL
A41683,B87010,1985,1985
A42076,B39945,1978,1997
A42076,B39945,2001,NULL
A42617,B57698,2006,NULL
A42760,B39945,1980,1980
A42808,B57698,2003,2015
A42960,B87010,1979,1985
A42960,B87010,1996,2002
A43080,B25370,1985,1986
A43496,B96605,2000,2002
A43715,B60704,1993,1996
A44085,B60704,1985,1991
A44085,B60704,1996,NULL
A45405,B78730,1979,1984
A45721,B60704,2009,2009
A45776,B96605,1995,1995
A45956,B97748,2011,NULL
A46265,B58851,1977,1987
A46265,B58851,1998,1998
A46265,B58851,2010,NULL
A48305,B24019,1968,2001
A48305,B24019,2015,NULL
A49871,B87010,1998,2000
A51119,B78730,1981,1981
A51186,B39016,1981,NULL
A51212,B57698,2007,NULL
A51561,B96605,1995,2002
A52613,B07436,1964,1975
A52613,B07436,1983,1989
A52613,B07436,2001,2001
A52613,B07436,2012,2013
A53339,B86189,1997,1991
A53658,B60704,2009,2009
A53989,B78730,1986,1992
A53989,B78730,1999,1999
A54110,B25807,1980,1990
A54110,B25807,1999,2005
A54262,B87010,1997,1998
A54262,B87010,1999,2000
A54362,B58851,1977,1982
A54362,B58851,1999,1999
A54362,B58851,2009,2009
A54362,B58851,2014,2014
A54855,B87010,2000,2001
A55714,B97748,2005,2009
A56415,B97748,1970,1971
A56840,B58851,1990,1990
A57063,B60704,1980,NULL
A57494,B57698,2002,2002
A57497,B78243,2001,NULL
A59702,B78243,1979,NULL
A61070,B25370,2013,NULL
A61183,B07436,1964,1989
A61183,B07436,2001,2001
A61183,B07436,2012,2013
A61355,B57698,2002,2007
A61426,B58851,1992,2008
A61426,B58851,2010,2014
A62249,B67107,1979,1988
A62249,B67107,1989,1989
A62249,B67107,1991,NULL
A62606,B49843,1990,1990
A62606,B49843,1994,1994
A62606,B49843,1997,1985
A62606,B49843,1999,2016
A63551,B39945,1978,1980
A63787,B60704,2009,2009
A63946,B96605,1995,1996
A64049,B25370,1982,1986
A64962,B39945,1979,1980
A65013,B25370,2001,2003
A65163,B86189,1997,1991
A65500,B57698,2002,2007
A66316,B48954,1977,1977
A66498,B87010,1996,1988
A66498,B87010,2001,2001
A66841,B86189,1997,1991
A66841,B86189,2001,NULL
A67079,B96605,1995,1998
A67283,B57698,1995,2003
A67399,B67107,2001,NULL
A67902,B96605,2002,2002
A67943,B39945,1978,1979
A68703,B48954,1977,1986
A68703,B48954,2003,2003
A68703,B48954,2007,2008
A68942,B58851,1977,1984
A68942,B58851,1989,1989
A68942,B58851,1998,2008
A70012,B78730,1979,1992
A70012,B78730,1999,1999
A70012,B78730,2003,NULL
A71269,B39016,1981,1987
A71356,B75381,1965,NULL
A73623,B96605,2013,NULL
A73836,B97748,1970,1970
A73938,B07436,1976,1989
A73938,B07436,2001,2001
A74157,B87963,1970,NULL
A74180,B60704,2009,2009
A74180,B60704,2012,2012
A75234,B58851,1982,2007
A76590,B39945,1986,2001
A78076,B96605,1995,2002
A80984,B97748,1970,NULL
A82818,B78243,1979,NULL
A82996,B87010,1998,1999
A83225,B58851,2014,2015
A83228,B58851,1984,1985
A83360,B25370,1977,1978
A83624,B87010,1979,1979
A84004,B86189,1997,1991
A84081,B05921,1981,1986
A84081,B05921,1998,2002
A84081,B05921,2011,NULL
A84862,B05921,1981,1986
A84862,B05921,1998,2002
A84862,B05921,2011,NULL
A85240,B58851,1977,2008
A85240,B58851,2010,NULL
A85677,B25370,1983,1984
A86816,B49843,1990,1990
A86816,B49843,1994,1994
A86816,B49843,1997,1985
A86816,B49843,1999,2016
A87190,B25370,1995,NULL
A87999,B05921,1981,1986
A87999,B05921,1998,2002
A87999,B05921,2011,NULL
A8832,B60704,1980,1985
A88495,B96605,1995,2002
A88622,B97748,1971,1971
A89136,B97748,2004,2009
A89466,B78243,1979,2001
A90080,B39945,2006,NULL
A90082,B02950,1981,1986
A90345,B25370,1977,1978
A90432,B96605,1995,NULL
A90712,B58851,2003,2008
A90825,B25370,1980,1986
A90825,B25370,1991,2013
A91289,B97748,1998,2009
A91801,B49843,1990,1990
A91801,B49843,1994,1994
A91801,B49843,1997,1985
A91801,B49843,1999,2016
A92070,B96605,2013,NULL
A92173,B87010,1985,1986
A92574,B96605,1995,1996
A92722,B57698,2015,NULL
A92945,B25370,1977,1980
A92945,B25370,1982,1983
A93601,B53513,1977,NULL
A94214,B78243,1979,NULL
A94404,B87010,1996,1998
A94404,B87010,1999,2001
A94604,B48954,1977,1986
A94604,B48954,2003,2003
A94604,B48954,2007,2008
A94814,B49843,1990,1990
A94814,B49843,1994,1994
A94814,B49843,1997,1985
A94814,B49843,1999,2016
A94820,B87010,1985,1986
A95016,B78730,1984,1992
A95016,B78730,1999,1999
A95016,B78730,2003,NULL
A95136,B87010,2001,2001
A95193,B87010,1978,1985
A95488,B57698,2003,2006
A95843,B96605,2016,NULL
A96264,B25370,1977,1986
A96264,B25370,1987,NULL
A96369,B78243,1994,NULL
A96526,B48954,1977,1986
A96526,B48954,2003,2003
A96526,B48954,2007,2008
A97177,B60704,2000,2000
A98462,B57698,2007,2010
A98462,B57698,2011,NULL
A98466,B39945,1979,1986
A98466,B39945,1995,1995
A98466,B39945,2001,NULL
A99611,B49843,1990,1990
A99611,B49843,1994,1994
A99611,B49843,1997,1985
A99611,B49843,1999,2016
